Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
30, F12,Assay,Unknown,Un_0286 1/1,620,0.036,186.91
30, G12,Assay,Unknown,Un_0287 1/1,620,0.035,187.88
30, H12,Assay,Unknown,Un_0288 1/1,620,0.036,188.34
37, A01,Assay,Unknown,Un_0289 1/1,620,0.193,308.24
37, B01,Assay,Unknown,Un_0290 1/1,620,0.148,309.12
37, C01,Assay,Unknown,Un_0291 1/1,620,0.206,309.68
37, D01,Assay,Unknown,Un_0292 1/1,620,0.221,310.56
37, E01,Assay,Unknown,Un_0293 1/1,620,0.198,311.11
37, F01,Assay,Unknown,Un_0294 1/1,620,0.182,312
37, G01,Assay,Unknown,Un_0295 1/1,620,0.193,312.55
37, H01,Assay,Unknown,Un_0296 1/1,620,0.143,313.43
37, A02,Assay,Unknown,Un_0297 1/1,620,0.177,308.26
37, B02,Assay,Unknown,Un_0298 1/1,620,0.162,309.1
37, C02,Assay,Unknown,Un_0299 1/1,620,0.182,309.7
37, D02,Assay,Unknown,Un_0300 1/1,620,0.176,310.54
37, E02,Assay,Unknown,Un_0301 1/1,620,0.174,311.13
37, F02,Assay,Unknown,Un_0302 1/1,620,0.177,311.98
37, G02,Assay,Unknown,Un_0303 1/1,620,0.165,312.57
37, H02,Assay,Unknown,Un_0304 1/1,620,0.099,313.41
37, A03,Assay,Unknown,Un_0305 1/1,620,0.201,308.28
37, B03,Assay,Unknown,Un_0306 1/1,620,0.179,309.08
37, C03,Assay,Unknown,Un_0307 1/1,620,0.139,309.71
37, D03,Assay,Unknown,Un_0308 1/1,620,0.146,310.52
37, E03,Assay,Unknown,Un_0309 1/1,620,0.04,311.15
37, F03,Assay,Unknown,Un_0310 1/1,620,0.041,311.96
37, G03,Assay,Unknown,Un_0311 1/1,620,0.038,312.59
37, H03,Assay,Unknown,Un_0312 1/1,620,0.037,313.39
37, A04,Assay,Unknown,Un_0313 1/1,620,0.183,308.3
37, B04,Assay,Unknown,Un_0314 1/1,620,0.187,309.06
37, C04,Assay,Unknown,Un_0315 1/1,620,0.183,309.73
37, D04,Assay,Unknown,Un_0316 1/1,620,0.197,310.5
37, E04,Assay,Unknown,Un_0317 1/1,620,0.204,311.17
37, F04,Assay,Unknown,Un_0318 1/1,620,0.176,311.94
37, G04,Assay,Unknown,Un_0319 1/1,620,0.185,312.61
37, H04,Assay,Unknown,Un_0320 1/1,620,0.137,313.38
37, A05,Assay,Unknown,Un_0321 1/1,620,0.174,308.31
37, B05,Assay,Unknown,Un_0322 1/1,620,0.182,309.04
37, C05,Assay,Unknown,Un_0323 1/1,620,0.163,309.75
37, D05,Assay,Unknown,Un_0324 1/1,620,0.176,310.48
37, E05,Assay,Unknown,Un_0325 1/1,620,0.161,311.19
37, F05,Assay,Unknown,Un_0326 1/1,620,0.166,311.92
37, G05,Assay,Unknown,Un_0327 1/1,620,0.178,312.63
37, H05,Assay,Unknown,Un_0328 1/1,620,0.16,313.36
37, A06,Assay,Unknown,Un_0329 1/1,620,0.2,308.33
37, B06,Assay,Unknown,Un_0330 1/1,620,0.187,309.03
37, C06,Assay,Unknown,Un_0331 1/1,620,0.207,309.77
37, D06,Assay,Unknown,Un_0332 1/1,620,0.237,310.46
37, E06,Assay,Unknown,Un_0333 1/1,620,0.18,311.21
37, F06,Assay,Unknown,Un_0334 1/1,620,0.177,311.9
37, G06,Assay,Unknown,Un_0335 1/1,620,0.192,312.65
37, H06,Assay,Unknown,Un_0336 1/1,620,0.146,313.34
37, A07,Assay,Unknown,Un_0337 1/1,620,0.148,308.35
37, B07,Assay,Unknown,Un_0338 1/1,620,0.147,309.01
37, C07,Assay,Unknown,Un_0339 1/1,620,0.178,309.79
37, D07,Assay,Unknown,Un_0340 1/1,620,0.169,310.44
37, E07,Assay,Unknown,Un_0341 1/1,620,0.039,311.23
37, F07,Assay,Unknown,Un_0342 1/1,620,0.037,311.88
37, G07,Assay,Unknown,Un_0343 1/1,620,0.037,312.66
37, H07,Assay,Unknown,Un_0344 1/1,620,0.034,313.32
37, A08,Assay,Unknown,Un_0345 1/1,620,0.224,308.37
37, B08,Assay,Unknown,Un_0346 1/1,620,0.195,308.99
37, C08,Assay,Unknown,Un_0347 1/1,620,0.211,309.81
37, D08,Assay,Unknown,Un_0348 1/1,620,0.201,310.42
37, E08,Assay,Unknown,Un_0349 1/1,620,0.205,311.25
37, F08,Assay,Unknown,Un_0350 1/1,620,0.202,311.86
37, G08,Assay,Unknown,Un_0351 1/1,620,0.2,312.68
37, H08,Assay,Unknown,Un_0352 1/1,620,0.162,313.3
37, A09,Assay,Unknown,Un_0353 1/1,620,0.166,308.39
37, B09,Assay,Unknown,Un_0354 1/1,620,0.168,308.97
37, C09,Assay,Unknown,Un_0355 1/1,620,0.151,309.83
37, D09,Assay,Unknown,Un_0356 1/1,620,0.167,310.41
37, E09,Assay,Unknown,Un_0357 1/1,620,0.166,311.27
37, F09,Assay,Unknown,Un_0358 1/1,620,0.184,311.84
37, G09,Assay,Unknown,Un_0359 1/1,620,0.196,312.7
37, H09,Assay,Unknown,Un_0360 1/1,620,0.466,313.28
37, A10,Assay,Unknown,Un_0361 1/1,620,0.172,308.41
37, B10,Assay,Unknown,Un_0362 1/1,620,0.182,308.95
37, C10,Assay,Unknown,Un_0363 1/1,620,0.205,309.85
37, D10,Assay,Unknown,Un_0364 1/1,620,0.228,310.39
37, E10,Assay,Unknown,Un_0365 1/1,620,0.194,311.28
37, F10,Assay,Unknown,Un_0366 1/1,620,0.499,311.82
37, G10,Assay,Unknown,Un_0367 1/1,620,0.195,312.72
