Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
42,G05,Group 1,Unknown,Un0365,620,0.1429,1059.04
42,G06,Group 1,Unknown,Un0366,620,0.1818,1059.06
42,G07,Group 1,Unknown,Un0367,620,0.0379,1059.08
42,G08,Group 1,Unknown,Un0368,620,0.1728,1059.1
42,G09,Group 1,Unknown,Un0369,620,0.182,1059.12
42,G10,Group 1,Unknown,Un0370,620,0.1561,1059.14
42,G11,Group 1,Unknown,Un0371,620,0.1703,1059.16
42,G12,Group 1,Unknown,Un0372,620,0.0357,1059.18
42,H12,Group 1,Unknown,Un0384,620,0.0375,1059.64
42,H11,Group 1,Unknown,Un0383,620,0.2443,1059.66
42,H10,Group 1,Unknown,Un0382,620,0.1637,1059.68
42,H09,Group 1,Unknown,Un0381,620,0.2115,1059.7
42,H08,Group 1,Unknown,Un0380,620,0.2669,1059.71
42,H07,Group 1,Unknown,Un0379,620,0.0365,1059.73
42,H06,Group 1,Unknown,Un0378,620,0.2072,1059.75
42,H05,Group 1,Unknown,Un0377,620,0.2497,1059.77
42,H04,Group 1,Unknown,Un0376,620,0.1693,1059.79
42,H03,Group 1,Unknown,Un0375,620,0.1865,1059.81
42,H02,Group 1,Unknown,Un0374,620,0.2507,1059.83
42,H01,Group 1,Unknown,Un0373,620,0.2793,1059.85
12,A01,Group 1,Unknown,Un0385,620,0.1604,1397.85
12,A02,Group 1,Unknown,Un0393,620,0.1308,1397.87
12,A03,Group 1,Unknown,Un0401,620,0.0352,1397.89
12,A04,Group 1,Unknown,Un0409,620,0.1908,1397.91
12,A05,Group 1,Unknown,Un0417,620,0.1748,1397.93
12,A06,Group 1,Unknown,Un0425,620,0.1594,1397.94
12,A07,Group 1,Unknown,Un0433,620,0.1296,1397.96
12,A08,Group 1,Unknown,Un0441,620,0.0541,1397.98
12,A09,Group 1,Unknown,Un0449,620,0.0969,1398
12,A10,Group 1,Unknown,Un0457,620,0.1111,1398.02
12,A11,Group 1,Unknown,Un0465,620,0.1553,1398.04
12,A12,Group 1,Unknown,Un0473,620,0.1805,1398.06
12,B12,Group 1,Unknown,Un0474,620,0.1687,1398.52
12,B11,Group 1,Unknown,Un0466,620,0.1029,1398.54
12,B10,Group 1,Unknown,Un0458,620,0.0829,1398.56
12,B09,Group 1,Unknown,Un0450,620,0.1051,1398.58
12,B08,Group 1,Unknown,Un0442,620,0.1761,1398.6
12,B07,Group 1,Unknown,Un0434,620,0.1062,1398.62
12,B06,Group 1,Unknown,Un0426,620,0.0927,1398.64
12,B05,Group 1,Unknown,Un0418,620,0.124,1398.65
12,B04,Group 1,Unknown,Un0410,620,0.1133,1398.67
12,B03,Group 1,Unknown,Un0402,620,0.0356,1398.69
12,B02,Group 1,Unknown,Un0394,620,0.0437,1398.71
12,B01,Group 1,Unknown,Un0386,620,0.1338,1398.73
12,C01,Group 1,Unknown,Un0387,620,0.1312,1399.28
12,C02,Group 1,Unknown,Un0395,620,0.0377,1399.3
12,C03,Group 1,Unknown,Un0403,620,0.0358,1399.32
12,C04,Group 1,Unknown,Un0411,620,0.0882,1399.34
12,C05,Group 1,Unknown,Un0419,620,0.1034,1399.36
12,C06,Group 1,Unknown,Un0427,620,0.106,1399.38
12,C07,Group 1,Unknown,Un0435,620,0.1149,1399.4
12,C08,Group 1,Unknown,Un0443,620,0.0497,1399.42
12,C09,Group 1,Unknown,Un0451,620,0.0881,1399.44
12,C10,Group 1,Unknown,Un0459,620,0.0842,1399.46
12,C11,Group 1,Unknown,Un0467,620,0.1277,1399.48
12,C12,Group 1,Unknown,Un0475,620,0.1576,1399.49
12,D12,Group 1,Unknown,Un0476,620,0.0936,1399.96
12,D11,Group 1,Unknown,Un0468,620,0.1103,1399.98
12,D10,Group 1,Unknown,Un0460,620,0.0607,1399.99
12,D09,Group 1,Unknown,Un0452,620,0.0715,1400.01
12,D08,Group 1,Unknown,Un0444,620,0.1395,1400.03
12,D07,Group 1,Unknown,Un0436,620,0.0987,1400.05
